,precision,recall,f1-score,support
intern,0.0,0.0,0.0,4.0
junior,0.6363636363636364,0.5384615384615384,0.5833333333333334,13.0
lead,0.0,0.0,0.0,8.0
low_value,0.5294117647058824,0.8181818181818182,0.6428571428571429,11.0
senior,0.56,0.9333333333333333,0.7,15.0
template,0.0,0.0,0.0,2.0
accuracy,0.5660377358490566,0.5660377358490566,0.5660377358490566,0.5660377358490566
macro avg,0.2876292335115865,0.3816627816627817,0.32103174603174606,53.0
weighted avg,0.42445767329230155,0.5660377358490566,0.47461814914645106,53.0
